Laptop Model,Features,Price,Links
Lenovo 3 15ITL05 (81X800N2IN) (Intel Core i3 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,"{'Operating System': 'Windows 11 Home Basic', 'Screen Size': '15.6 inch(39.62 cm)', 'Screen Resolution': '1920 x 1080 pixels', 'Display Feature': 'F (1920x1080) TN Technology 220Nits Brightness Anti Glare', 'Touchscreen': 'No', 'Processor': 'Intel Core i3 (11th Gen)', 'Processor Model': '1115G4', 'Processor Clock Speed': '3.0GHz', 'Cache': '6 MB', 'Graphics Processor': 'Intel UHD', 'RAM': '8GB', 'RAM Upgradable to': 'Up to 12GB', 'Memory Slots': '1', 'RAM Type': 'DDR4', 'RAM Speed': '2666MHz', 'Hard Drive Capacity': '512GB', 'Weight': '1.70 Kg', 'Dimensions (mm)': '362 x 253 x 20', 'Colour': 'Platinum Grey', 'Warranty': '2 Years', 'Sales Package': 'Laptop, Power Adapter, User Manual, Warranty Card', 'USB 2.0': 'Yes, 1', 'Wi-Fi': 'Yes, 802.11 a/b/g/n/ac', 'Bluetooth': 'Yes, 5.0', 'Input': 'Headphone + Microphone Combo Jack', 'Speakers': 'Yes', 'Audio Technology': 'HD Audio', 'Webcam': 'Yes', 'Battery Life (Up to)': '7 Hrs', 'Battery Type': 'Li-Ion'}","Rs. 35,990",https://pricebaba.com/laptop/lenovo-3-15itl05-81x800n2in-intel-core-i3-11th-gen-8gb-512gb-ssd-windows
realme Book Slim (Intel Core i3 (11th Gen) 8GB 256GB SSD Windows 10) Laptop,"{'Operating System': 'Windows 10 Home Basic', 'Screen Size': '14 inch(35.56 cm)', 'Screen Resolution': '2160 x 1440 pixels', 'Display Type': 'LCD', 'Display Feature': '2K Q, IPS LCD Display ( 400nits peak brightness, 100% sRGB,3:2 aspect ratio, Full Vision Display)', 'Touchscreen': 'No', 'Processor': 'Intel Core i3 (11th Gen)', 'Processor Model': '1115G4', 'Processor Clock Speed': '3.0GHz', 'Cache': '6 MB', 'Graphics Processor': 'Intel UHD', 'RAM': '8GB', 'RAM Upgradable to': 'Up to 8GB', 'Memory Slots': '1', 'RAM Type': 'LPDDR4X', 'RAM Speed': '3733MHz', 'Hard Drive Capacity': '256GB', 'Weight': '1.38 Kg', 'Dimensions (mm)': '307.2 x 228.9 x 15.5', 'Colour': 'Real Blue', 'Warranty': '1 Year', 'Sales Package': 'Laptop, Battery, AC Adapter, User Guide', 'Wi-Fi': 'Yes, 802.11 a/b/g/n', 'Bluetooth': 'Yes, 5.1', 'Optical Drive': 'No', 'USB Type C': 'Yes, 1', 'Input': 'Headphone + Microphone Combo Jack', 'Speakers': 'Yes', 'Audio Technology': 'Stereo Surround Sound By DTS', 'Webcam': 'Yes', 'Adapter': '65W PD Super-Fast Charge W', 'Battery Life (Up to)': '4 Hrs', 'Battery Type': 'Li-Po', 'Pointing Device': 'Touchpad with Multi-Touch Gestures Enabled', 'Keyboard': 'Backlit Chiclet Keyboard', 'Fingerprint Scanner': 'Yes'}","Rs. 36,999",https://pricebaba.com/laptop/realme-book-slim-intel-core-i3-11th-gen-8gb-windows
Asus FX506LHB-HN355WS (Intel Core i5 (10th Gen) 8GB 512GB SSD 4GB Graphics Windows 11) Laptop,"{'Operating System': 'Windows 11 Home Basic', 'Screen Size': '15.6 inch(39.62 cm)', 'Screen Resolution': '1920 x 1080 pixels', 'Display Feature': '47.1 Percent Adobe, Viewing Angle: 170/170, 250 Nits Brightness, Contrast: 1000:1, 45 Percent NTSC, 62.5 Percent SRGB, Anti-Glare Display', 'Touchscreen': 'No', 'Processor': 'Intel Core i5 (10th Gen)', 'Processor Model': '10300H', 'Processor Clock Speed': '2.5GHz', 'Cache': '8 MB', 'Graphics Processor': 'NVIDIA GeForce GTX 1650', 'Graphics Memory': '4 GB', 'RAM': '8GB', 'RAM Upgradable to': 'Up to 32GB', 'Memory Slots': '2', 'RAM Type': 'DDR4', 'RAM Speed': '2933', 'Hard Drive Type': 'SSD M.2/Optane', 'Hard Drive Capacity': '512GB', 'Weight': '2.3 Kg', 'Dimensions (mm)': '359 x 256 x 24.7', 'Colour': 'Bonfire Black', 'Warranty': '1 Year', 'Sales Package': 'Laptop, Power Adaptor, User Guide, Warranty Documents', 'USB 2.0': 'Yes, 1', 'Wi-Fi': 'Yes, 802.11 a/b/g/n/ac', 'Bluetooth': 'Yes, 5.2', 'USB Type C': 'Yes, 1', 'Input': 'Headphone + Microphone Combo Jack', 'Audio Technology': 'Smart Amplifier Technology', 'Webcam': 'Yes', 'Adapter': '150 W', 'Battery Cell': '3 Cell', 'Battery Type': 'Li-Ion', 'Keyboard': 'Backlit Chiclet Keyboard RGB', 'Fingerprint Scanner': 'No'}","Rs. 53,990",https://pricebaba.com/laptop/asus-fx506lhb-hn355ws-intel-core-i5-10th-gen-8gb-512gb-ssd-4gb-graphics-windows
Lenovo 3 15ITL6 (82H801L7IN) (Intel Core i3 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,"{'Operating System': 'Windows 11 Home Basic', 'Screen Size': '15.6 inch(39.62 cm)', 'Screen Resolution': '1920 x 1080 pixels', 'Display Feature': 'TN 250nits Anti-glare', 'Touchscreen': 'No', 'Processor': 'Intel Core i3 (11th Gen)', 'Processor Model': '1115G4', 'Processor Clock Speed': '4.0GHz', 'Cache': '6 MB', 'Graphics Processor': 'Intel UHD', 'RAM': '8GB', 'RAM Upgradable to': 'Up to 12GB', 'Memory Slots': '1', 'RAM Type': 'DDR4', 'Hard Drive Capacity': '512GB', 'Weight': '1.65 Kg', 'Dimensions (mm)': '359.2 x 236.5 x 19.9', 'Colour': 'Arctic Grey', 'Warranty': '1 Year', 'Sales Package': 'Laptop, Power Adaptor, User Guide, Warranty Documents', 'USB 2.0': 'Yes, 1', 'Wi-Fi': 'Yes, 802.11 a/b/g/n/ac', 'Bluetooth': 'Yes, 5.0', 'Input': 'Headphone + Microphone Combo Jack', 'Webcam': 'Yes', 'Adapter': '45 W', 'Battery Life (Up to)': '12 Hrs', 'Battery Cell': '3 Cell', 'Battery Type': 'Li-Po', 'Keyboard': 'Non-backlit, English', 'Fingerprint Scanner': 'No'}","Rs. 36,500",https://pricebaba.com/laptop/lenovo-3-15itl6-82h801l7in-intel-core-i3-11th-gen-8gb-512gb-ssd-windows
Apple M1 MGND3HN/A ( 8GB 256GB SSD macOS Big Sur) Laptop,"{'Operating System': 'macOS Big Sur', 'Screen Size': '13.3 inch(33.78 cm)', 'Screen Resolution': '2560 x 1600 pixels', 'Display Type': 'LED', 'Display Feature': 'Quad LED Backlit IPS Display (227 PPI, 400 nits Brightness, Wide Colour (P3), True Tone Technology)', 'Touchscreen': 'No', 'Processor': 'Apple M1', 'Processor Clock Speed': '2.9GHz', 'Graphics Processor': 'Apple M1', 'RAM': '8GB', 'RAM Upgradable to': 'Up to 16GB', 'Memory Slots': '1', 'RAM Type': 'DDR4', 'Hard Drive Capacity': '256GB', 'Weight': '1.29 Kg', 'Dimensions (mm)': '304.1 x 212.4 x 10.9', 'Colour': 'Gold', 'Warranty': '1 Year', 'Sales Package': 'Laptop, Battery, AC Adapter, User Guide', 'Wi-Fi': 'Yes, 802.11 b/g/n/ax', 'Bluetooth': 'Yes, 5.0', 'Optical Drive': 'No', 'USB Type C': 'Yes, 2', 'Input': 'Headphone + Microphone Combo Jack', 'Speakers': 'Yes', 'Audio Technology': 'Wide Stereo Sound, Support for Dolby Atmos Playback', 'Webcam': 'Yes', 'Adapter': '30 W AC Adapter W', 'Battery Life (Up to)': '15 Hrs', 'Battery Cell': '10 Cell', 'Battery Type': 'Li-Po', 'Pointing Device': 'Touchpad with Multi-Touch Gestures Enabled', 'Keyboard': 'Backlit Magic Keyboard', 'Fingerprint Scanner': 'No'}","Rs. 81,990",https://pricebaba.com/laptop/apple-m1-mgnd3hn-a-8gb-mac-os-x
Asus X515JA-BQ322WS (Intel Core i3 (10th Gen) 8GB 512GB SSD Windows 11) Laptop,"{'Operating System': 'Windows 11 Home Basic', 'Screen Size': '15.6 inch(39.62 cm)', 'Screen Resolution': '1920 x 1080 pixels', 'Display Type': 'LED', 'Display Feature': 'LED Backlit, IPS-Level Panel, 250Nits, 45% NTSC Color Gamut, Anti-Glare Display', 'Touchscreen': 'No', 'Processor': 'Intel Core i3 (10th Gen)', 'Processor Model': '1005G1', 'Processor Clock Speed': '1.2GHz', 'Cache': '4 MB', 'Graphics Processor': 'Intel UHD', 'RAM': '8GB', 'RAM Upgradable to': 'Up to 12GB', 'Memory Slots': '1', 'RAM Type': 'DDR4', 'Hard Drive Capacity': '512GB', 'Weight': '1.80 Kg', 'Dimensions (mm)': '360.2 x 234.9 x 19.9', 'Colour': 'Transparent Silver', 'Warranty': '1 Year', 'Sales Package': 'Laptop, Power Adaptor, User Guide, Warranty Documents', 'USB 2.0': 'Yes, 2', 'Wi-Fi': 'Yes, 802.11 a/b/g/n/ac', 'Bluetooth': 'Yes, 4.1', 'USB Type C': 'Yes, 1', 'Input': 'Headphone + Microphone Combo Jack', 'Audio Technology': 'SonicMaster Audio by ICEpower', 'Webcam': 'Yes', 'Adapter': '45 W', 'Battery Cell': '2 Cell', 'Battery Type': 'Li-Ion', 'Keyboard': 'Chiclet Keyboard with Num-key', 'Fingerprint Scanner': 'Yes'}","Rs. 35,500",https://pricebaba.com/laptop/asus-x515ja-bq322ws-intel-core-i3-10th-gen-8gb-512gb-ssd-windows
Apple M1 MGN63HN/A ( 8GB 256GB SSD macOS Big Sur) Laptop,"{'Operating System': 'macOS Big Sur', 'Screen Size': '13.3 inch(33.78 cm)', 'Screen Resolution': '2560 x 1600 pixels', 'Display Type': 'LED', 'Display Feature': 'Quad LED Backlit IPS Display (227 PPI, 400 nits Brightness, Wide Colour (P3), True Tone Technology)', 'Touchscreen': 'No', 'Processor': 'Apple M1', 'RAM': '8GB', 'Memory Slots': '1', 'RAM Type': 'DDR4', 'Hard Drive Capacity': '256GB', 'Weight': '1.29 Kg', 'Dimensions (mm)': '304.1 x 212.4 x 10.9', 'Colour': 'Space Grey', 'Warranty': '1 Year', 'Sales Package': 'Laptop, Battery, AC Adapter, User Guide', 'Wi-Fi': 'Yes, 802.11 b/g/n/ax', 'Bluetooth': 'Yes, 5.0', 'Optical Drive': 'No', 'USB Type C': 'Yes, 2', 'Input': 'Headphone + Microphone Combo Jack', 'Speakers': 'Yes', 'Audio Technology': 'Wide Stereo Sound, Support for Dolby Atmos Playback', 'Webcam': 'Yes', 'Adapter': '30 W AC Adapter W', 'Battery Life (Up to)': '15 Hrs', 'Battery Type': 'Li-Po', 'Pointing Device': 'Force Touch Trackpad (with Multi Touch Gestures)', 'Keyboard': 'Backlit Magic Keyboard', 'Fingerprint Scanner': 'No'}","Rs. 81,990",https://pricebaba.com/laptop/apple-m1-mgn63hn-a-8gb-mac-os-x
Apple M1 MGN93HN/A ( 8GB 256GB SSD macOS Big Sur) Laptop,"{'Operating System': 'macOS Big Sur', 'Screen Size': '13.3 inch(33.78 cm)', 'Screen Resolution': '2560 x 1600 pixels', 'Display Type': 'LED', 'Display Feature': 'Quad LED Backlit IPS Display (227 PPI, 400 nits Brightness, Wide Colour (P3), True Tone Technology)', 'Touchscreen': 'No', 'Processor': 'Apple M1', 'RAM': '8GB', 'Memory Slots': '1', 'RAM Type': 'DDR4', 'Hard Drive Capacity': '256GB', 'Weight': '1.29 Kg', 'Dimensions (mm)': '304.1 x 212.4 x 10.9', 'Colour': 'Silver', 'Warranty': '1 Year', 'Sales Package': 'Laptop, Battery, AC Adapter, User Guide', 'Wi-Fi': 'Yes, 802.11 b/g/n/ax', 'Bluetooth': 'Yes, 5.0', 'Optical Drive': 'No', 'USB Type C': 'Yes, 2', 'Input': 'Headphone + Microphone Combo Jack', 'Speakers': 'Yes', 'Audio Technology': 'Wide Stereo Sound, Support for Dolby Atmos Playback', 'Webcam': 'Yes', 'Adapter': '30 W AC Adapter W', 'Battery Life (Up to)': '15 Hrs', 'Battery Type': 'Li-Po', 'Pointing Device': 'Touchpad with Multi-Touch Gestures Enabled', 'Keyboard': 'Backlit Magic Keyboard', 'Fingerprint Scanner': 'No'}","Rs. 81,990",https://pricebaba.com/laptop/apple-m1-mgn93hn-a-8gb-mac-os-x
HP 15-ec2004AX (3E3R5PA) ( 8GB 512GB SSD 4GB Graphics Windows 10) Laptop,"{'Operating System': 'Windows 10 Home Basic', 'Screen Size': '15.6 inch(39.62 cm)', 'Screen Resolution': '1920 x 1080 pixels', 'Display Type': 'LED', 'Display Feature': 'WLED-Backlit IPS Anti-glare Micro-edge Display (Brightness: 250 nits, 141 PPI, Color Gamut: 45% NTSC)', 'Touchscreen': 'No', 'Processor': 'AMD Hexa-Core Ryzen 5', 'Processor Model': '5600H', 'Processor Clock Speed': '3.3GHz', 'Cache': '16 MB', 'Graphics Processor': 'NVIDIA GeForce GTX 1650', 'Graphics Memory': '4 GB', 'RAM': '8GB', 'RAM Upgradable to': 'Up to 16GB', 'Memory Slots': '1', 'RAM Type': 'DDR4', 'RAM Speed': '3200MHz', 'Hard Drive Capacity': '512GB', 'Weight': '1.98 Kg', 'Dimensions (mm)': '360 x 257 x 23.5', 'Colour': 'Shadow Black', 'Warranty': '1 Year', 'Sales Package': 'Laptop, Battery, AC Adapter, User Guide', 'USB 2.0': 'Yes, 1', 'Wi-Fi': 'Yes, 802.11 a/b/g/n/ac', 'Bluetooth': 'Yes, 5.0', 'Optical Drive': 'No', 'USB Type C': 'Yes, 1', 'Input': 'Headphone + Microphone Combo Jack', 'Audio Technology': 'HP Audio Boost', 'Webcam': 'Yes', 'Adapter': '52.5 W AC Adapter W', 'Battery Life (Up to)': '4 Hrs', 'Battery Cell': '3 Cell', 'Battery Type': 'Li-Ion', 'Pointing Device': 'Touchpad with Multi-Touch Gestures Enabled', 'Keyboard': 'Full-size, Ultra Violet Backlit, Shadow Black Keyboard with Numeric Keypad', 'Fingerprint Scanner': 'No'}","Rs. 58,744",https://pricebaba.com/laptop/hp-15-ec2004ax-3e3r5pa-ryzen-5-8gb-4gb-graphics-windows
Asus X515JA-EJ362WS (Intel Core i3 (10th Gen) 8GB 512GB SSD Windows 11) Laptop,"{'Operating System': 'Windows 11 Home Basic', 'Screen Size': '15.6 inch(39.62 cm)', 'Screen Resolution': '1920 x 1080 pixels', 'Display Type': 'LED', 'Display Feature': '(200nits, 45% NTSC color gamut, non-OLED, Anti-glare display)', 'Touchscreen': 'No', 'Processor': 'Intel Core i3 (10th Gen)', 'Processor Model': '1005G1', 'Processor Clock Speed': '1.2GHz', 'Cache': '4 MB', 'Graphics Processor': 'Intel UHD', 'RAM': '8GB', 'Memory Slots': '1', 'RAM Type': 'DDR4', 'Hard Drive Capacity': '512GB', 'Weight': '1.80 Kg', 'Dimensions (mm)': '360.2 x 234.9 x 19.9', 'Colour': 'Transparent Silver', 'Warranty': '1 Year', 'Sales Package': 'Laptop, Battery, AC Adapter, User Guide', 'USB 2.0': 'Yes, 2', 'Wi-Fi': 'Yes, 802.11 a/b/g/n/ac', 'Bluetooth': 'Yes, 4.1', 'Optical Drive': 'No', 'USB Type C': 'Yes, 1', 'Input': 'Headphone + Microphone Combo Jack', 'Audio Technology': 'SonicMaster Audio by ICEpower', 'Webcam': 'Yes', 'Adapter': '45 W AC Adapter W', 'Battery Cell': '2 Cell', 'Battery Type': 'Li-Ion', 'Pointing Device': 'Touchpad with Multi-Touch Gestures Enabled', 'Keyboard': 'Chiclet Keyboard with Num-key', 'Fingerprint Scanner': 'No'}","Rs. 32,990",https://pricebaba.com/laptop/asus-x515ja-ej362ws-intel-core-i3-10th-gen-8gb-windows
